shortlist_rank,rank,score,family,priority,ichome_title,jan,price,url,reason,shortlist_note
最優先,S,90,高級コンデジ,A,FUJIFILM X100V [シルバー],4547410423419,253000,https://www.1-chome.com/wineDetail/2681/2681,JANあり、高単価、特に高単価、高級コンデジ系,X100VIが既存登録済みで、同系列の高需要コンデジ
最優先,S,90,高級コンデジ,A,FUJIFILM X100V [ブラック],4547410423433,248200,https://www.1-chome.com/wineDetail/2680/2680,JANあり、高単価、特に高単価、高級コンデジ系,X100VIが既存登録済みで、同系列の高需要コンデジ
最優先,S,90,高級コンデジ,A,RICOH GR IV HDF,4549212311871,250500,https://www.1-chome.com/wineDetail/7974/7974,JANあり、高単価、特に高単価、高級コンデジ系,GR IV Black/Monochromeが既存登録済みで、同系列の高需要コンデジ
最優先,S,80,高級コンデジ,A,RICOH GR IIIx HDF 特別モデル,4549212306297,212500,https://www.1-chome.com/wineDetail/5701/5701,JANあり、高単価、特に高単価、高級コンデジ系、限定・特別モデルで安定性注意,GR IIIx既存登録済みで、派生モデルとして見やすい
最優先,S,80,高級コンデジ,A,RICOH GR III HDF 特別モデル,4549212306181,195500,https://www.1-chome.com/wineDetail/5700/5700,JANあり、高単価、特に高単価、高級コンデジ系、限定・特別モデルで安定性注意,GR III既存登録済みで、派生モデルとして見やすい
最優先,S,90,高級コンデジ,A,RICOH GR III Street Edition,4549212302763,150000,https://www.1-chome.com/wineDetail/7407/7407,JANあり、高単価、特に高単価、高級コンデジ系,GR III既存登録済みで、限定寄りだが需要が読みやすい
最優先,S,90,高級コンデジ,A,デジタルカメラ サイバーショット DSC-RX100M7G シューティンググリップキット,4548736106390,161000,https://www.1-chome.com/wineDetail/2687/2687,JANあり、高単価、特に高単価、高級コンデジ系,高級コンデジで単価があり、型番が安定している
最優先,S,90,高級コンデジ,A,◆DSC-RX100M7,4548736106284,156500,https://www.1-chome.com/wineDetail/1253/1253,JANあり、高単価、特に高単価、高級コンデジ系,高級コンデジで単価があり、型番が安定している
最優先,S,80,高級コンデジ,A,SONY DSC-RX100M6,4548736083264,95500,https://www.1-chome.com/wineDetail/863/863,JANあり、高単価、高級コンデジ系,高級コンデジで単価があり、型番が安定している
最優先,S,80,高級コンデジ,A,SONY サイバーショット DSC-RX100M5A,4548736086449,105500,https://www.1-chome.com/wineDetail/868/868,JANあり、高単価、高級コンデジ系,高級コンデジで単価があり、型番が安定している
優先,S,80,高級コンデジ,A,◆デジタルカメラ PowerShot G5 X Mark II,4549292119114,93000,https://www.1-chome.com/wineDetail/2690/2690,JANあり、高単価、高級コンデジ系,PowerShot/G7X系の既存商品に近い高級コンデジ
優先,B,60,高級コンデジ,A,PowerShot V10 [ホワイト],4549292243567,43000,https://www.1-chome.com/wineDetail/6813/6813,JANあり、高級コンデジ系,V10ブラックキット既存。色違い単体として確認しやすい
優先,B,60,高級コンデジ,A,Canon PowerShot V10 [シルバー],4549292212532,40000,https://www.1-chome.com/wineDetail/5179/5179,JANあり、高級コンデジ系,V10ブラックキット既存。色違い単体として確認しやすい
優先,B,60,高級コンデジ,A,CANON PowerShot V10 [ブラック],4549292212556,40500,https://www.1-chome.com/wineDetail/5325/5325,JANあり、高級コンデジ系,V10ブラックキット既存。単体版として確認しやすい
次点,A,75,人気ボディ,B,FUJIFILM X-E5 ボディ [ブラック],4547410559064,175000,https://www.1-chome.com/wineDetail/7743/7743,JANあり、高単価、特に高単価、人気ボディ系,富士フイルム小型ボディ。候補は色違いがあるため整理してから追加
次点,A,75,人気ボディ,B,FUJIFILM X-E5 ボディ [シルバー],4547410559118,169200,https://www.1-chome.com/wineDetail/7744/7744,JANあり、高単価、特に高単価、人気ボディ系,富士フイルム小型ボディ。候補は色違いがあるため整理してから追加
次点,A,65,人気ボディ,B,FUJIFILM X-M5 ボディ [シルバー],4547410555165,113000,https://www.1-chome.com/wineDetail/6318/6318,JANあり、高単価、人気ボディ系,富士フイルム小型ボディ。候補は色違いがあるため整理してから追加
次点,A,65,人気ボディ,B,FUJIFILM X-M5 ボディ [ブラック],4547410555158,113000,https://www.1-chome.com/wineDetail/6317/6317,JANあり、高単価、人気ボディ系,富士フイルム小型ボディ。候補は色違いがあるため整理してから追加
次点,A,75,人気ボディ,B,Nikon Z5II ボディ,4960759917157,206800,https://www.1-chome.com/wineDetail/7359/7359,JANあり、高単価、特に高単価、人気ボディ系,Nikon Z系の既存商品に近いが、キット違いが多く整理が必要
次点,A,75,人気ボディ,B,Nikon Z6III ボディ,4960759916181,308000,https://www.1-chome.com/wineDetail/6077/6077,JANあり、高単価、特に高単価、人気ボディ系,Nikon Z系の既存商品に近いが高単価で確認が必要
